BuUrQH7nV42,https://www.instagram.com/p/BuUrQH7nV42/,"02/25/2019 6:28:02pm",video,177,3,"North De Land, Florida",1,"DC-3 engine mounts getting their final coat of paint.
www.mrdouglas.org
.
.
.
.
.
.
@save_a_dc3 #aircraft #aircraftrestoration #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3 #donalddouglas",047_02-25-2019
Bug5IWGH3pr,https://www.instagram.com/p/Bug5IWGH3pr/,"03/02/2019 12:15:17pm",image,125,3,"North De Land, Florida",1,"Fixing the exhaust pan! Making a good one out of two bad one's. We have such talented volunteers.
www.mrdouglas.org
.
.
.
.
.
#save_a_dc3
#radialengine #photooftheday #fly #flying #fun #roundmotors #pilot #pilotslife #photography #prattwhitney #pilotlifestyle #aircraftrestoration #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3training #dc3 #donalddouglas #aircraftspruce",049_03-02-2019
Bul2QOgHNub,https://www.instagram.com/p/Bul2QOgHNub/,"03/04/2019 10:34:36am",video,169,4,"",1,"Repairing the stainless steel pan. The pan surrounds the exhaust and keeps the excessive heat from destroying accessories or causing engine fire's.
www.mrdouglas.org
.
.
.
.
.
.
#save_a_dc3
#radialengine #photooftheday #fly #flying #fun #roundmotors #pilot #pilotslife #photography #prattwhitney #pilotlifestyle #aircraftrestoration #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3training #dc3 #donalddouglas #aircraftspruce",051_03-04-2019
BumDTZXHMyW,https://www.instagram.com/p/BumDTZXHMyW/,"03/04/2019 12:20:23pm",image,93,4,"",1,"Dick & Hector secure the heat sheathing on hoses that will contain flammable liquids that could be exposed to excessive heat. Hector is a volunteer all the way from Santiago Chile.
www.mrdouglas.org
.
.
.
.
#save_a_dc3
#radialengine #photooftheday #fly #flying #fun #roundmotors #pilot #pilotslife #photography #prattwhitney #pilotlifestyle #aircraftrestoration #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3training #dc3 #donalddouglas #aircraftspruce",053_03-04-2019
BurXGGQnRRj,https://www.instagram.com/p/BurXGGQnRRj/,"03/06/2019 1:49:32pm",image,152,1,"North De Land, Florida",1,"Doing an inventory on our exhaust parts! Sorting out the best ones to make two complete exhausts. Really nice to have extra parts that we will need in the future.
www.mrdouglas.org
.
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",055_03-06-2019
Buv5nNhHutO,https://www.instagram.com/p/Buv5nNhHutO/,"03/08/2019 8:08:06am",image,509,7,"",1,"Two complete Trans-Texas Airlines short stack exhaust systems, ready to be installed.
Short Stack exhaust are like having headers, what an awesome sound they make.
www.mrdouglas.org
.
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #radialengine #photooftheday #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",057_03-08-2019
BvSGSNkH6hZ,https://www.instagram.com/p/BvSGSNkH6hZ/,"03/21/2019 3:53:01pm",image,608,7,"DeLand, Florida",1,"Fitting the Trans-Texas Airlines short stacks to the engine. Getting the alignment correct prior to putting the pan on.
Please follow us!!
.
.
.
.
.",059_03-21-2019
Bvb07itHM5s,https://www.instagram.com/p/Bvb07itHM5s/,"03/25/2019 10:33:47am",image,535,4,"DeLand, Florida",1,"Pratt & Whitney 1830 - 75 with reconditioned exhaust pan and engine mount time for accessories!
www.mrdouglas.org
.
.
.
.
.
.
@save_a_dc3  #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #pratt #prattwhitney #photooftheday #pilot #pilotlife #philanthropy #radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #airplanes #airplane_lovers #sky #skydiving #dc3restoration #dc3",061_03-25-2019
BvnTjmwnhik,https://www.instagram.com/p/BvnTjmwnhik/,"03/29/2019 9:33:02pm",image,546,2,"DeLand, Florida",1,"Time for accessories! Carburetor capable of guzzling down 100 gallons an hour on takeoff. Just underneath to the right is a fresh overhauled Electric Tach Generator.
Follow us!
www.mrdouglas.org
.
.
.
.
@save_a_dc3 #staircraftaccessories #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #pratt #prattwhitney #photooftheday #pilot #pilotlife  #radialengine #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #airplanes #airplane_lovers #sky #skydiving #dc3restoration #dc3",063_03-29-2019
Bv6u1Hdntgs,https://www.instagram.com/p/Bv6u1Hdntgs/,"04/06/2019 10:36:56am",image,550,15,"Opa-locka, Florida",1,"Yesterday we picked up our second engine, we now own two Pratt & Whitney 1830 - 75 Zero-time engines, 1350 horsepower each. We really want to thank you all for your heartfelt contributions, we could not be doing this without you!
Preserving our past for future generations to enjoy.
www.mrdouglas.org
.
.
.
.
.
.
@save_a_dc3  #aircraft #aircraftrestoration #stickandrudder #dc3plane #fly #flying #fun #avnerd #avgeek #aviationlovers #photooftheday #pilot #pilotlife #philanthropy#radialengine #photooftheday #pilot #pilotslife #photography #pilotlifestyle #aircraft #air #airplane #sky #skydiving #boeingcompany #boeinglovers #boeing #dc3restoration #dc3",065_04-06-2019
